GRAFO CON N=34, M=78, C=36;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
          L;Filtro ;D=len(P);D=1+maxGrado;;;;;;;;;;;;;
1;0,000119;0,00013;0,00079;;;;;;;;;;;;;
2;0,000119;0,000146;0,000933;;;;;;;;;;;;;
3;0,000121;0,000157;0,000978;;;;;;;;;;;;;
4;0,000123;0,000176;0,001031;;;;;;;;;;;;;
5;0,000124;0,000178;0,001115;;;;;;;;;;;;;
6;0,000125;0,00019;0,001161;;;;;;;;;;;;;
7;0,000125;0,0002;0,001189;;;;;;;;;;;;;
8;0,000126;0,000203;0,001202;;;;;;;;;;;;;
9;0,000127;0,000205;0,001214;;;;;;;;;;;;;
10;0,000127;0,000207;0,001219;;;;;;;;;;;;;
20;0,000127;0,000207;0,001219;;;;;;;;;;;;;
30;0,000127;0,000207;0,001219;;;;;;;;;;;;;
40;0,000127;0,000207;0,001219;;;;;;;;;;;;;
50;0,000127;0,000207;0,001219;;;;;;;;;;;;;
60;0,000127;0,000207;0,001219;;;;;;;;;;;;;
70;0,000127;0,000207;0,001219;;;;;;;;;;;;;
80;0,000127;0,000207;0,001219;;;;;;;;;;;;;
90;0,000127;0,000207;0,001219;;;;;;;;;;;;;
100;0,000127;0,000207;0,001219;;;;;;;;;;;;;
110;0,000127;0,000207;0,001219;;;;;;;;;;;;;
120;0,000127;0,000207;0,001219;;;;;;;;;;;;;
130;0,000127;0,000207;0,001219;;;;;;;;;;;;;
140;0,000127;0,000207;0,001219;;;;;;;;;;;;;
150;0,000127;0,000207;0,001219;;;;;;;;;;;;;
160;0,000127;0,000207;0,001219;;;;;;;;;;;;;
170;0,000127;0,000207;0,001219;;;;;;;;;;;;;
180;0,000127;0,000207;0,001219;;;;;;;;;;;;;
190;0,000127;0,000207;0,001219;;;;;;;;;;;;;
200;0,000127;0,000207;0,001219;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
GRAFO CON N=1175, M=1417, C=1356;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
          L;Filtro;D=len(P);D=1+maxGrado;;;;;;;;;;;;;
1;0,003818;0,005205;0,026765;;;;;;;;;;;;;
2;0,003857;0,005496;0,027299;;;;;;;;;;;;;
3;0,003861;0,005576;0,027611;;;;;;;;;;;;;
4;0,003864;0,005632;0,027927;;;;;;;;;;;;;
